time_ms,cwnd_mss,ssthresh_mss,reno_state,event
12862,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12911,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12962,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13020,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13071,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13122,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13172,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13237,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13278,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13333,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13384,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13434,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13484,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13534,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13585,9,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13635,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13686,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13736,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13788,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13841,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13890,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13940,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
13990,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14039,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14091,10,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14142,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14243,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14294,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14345,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14399,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14451,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14523,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14569,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14619,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14669,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14720,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14772,11,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
14823,12,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
